task_id,event_summary,first_public_at,evidence_url,content_sha256,evidence_rationale,manual_review_eligible,direction_link,reviewer
B-EARN-CN_A-20240119-600036,招商银行（600036）发布财报，EPS 实际 1.19，一致预期 1.13，surprise 5.31%。,2024-01-20T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-01-20/1218955727.PDF,d9232e6f46587349165f3d421c2bfe772845bc889f35d08e966f0dc017bd7422,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2024-01-22 close,DeepFinEval audit
B-EARN-CN_A-20240808-600519,贵州茅台（600519）发布财报，EPS 实际 14.02，一致预期 14.22，surprise -1.41%。,2024-08-09T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-08-09/1220825189.PDF,898b37d6529d0042aa66461bae11b84a47f9337c2ff1d572155bfa71fca77c58,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2024-08-09 close,DeepFinEval audit
B-EARN-CN_A-20240819-000333,美的集团（000333）发布财报，EPS 实际 1.59，一致预期 1.54，surprise 3.53%。,2024-08-20T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-08-20/1220909926.PDF,29987795727aa66db08035eb9eff80eaf5622940fadcf05d44bca31cd2f47521,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2024-08-20 close,DeepFinEval audit
B-EARN-CN_A-20240821-600276,恒瑞医药（600276）发布财报，EPS 实际 0.32，一致预期 0.19，surprise 68.42%。,2024-08-22T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-08-22/1220938296.PDF,235cb298c4c92df1306e72c109e0672b7ca7b9bec1674810951b77ba5acec246,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2024-08-22 close,DeepFinEval audit
B-EARN-CN_A-20240822-601318,中国平安（601318）发布财报，EPS 实际 2.18，一致预期 1.61，surprise 35.40%。,2024-08-23T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-08-23/1220953911.PDF,9e9fd193d13ffa26d87fffc28b88104e83b6453ad750daaf414e6971fc5bfcd0,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2024-08-23 close,DeepFinEval audit
B-EARN-CN_A-20240828-000858,五粮液（000858）发布财报，EPS 实际 1.29，一致预期 1.29，surprise 0.30%。,2024-08-29T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-08-29/1221032897.PDF,609a9a8894b84dadff9f0d5dc43b40df1ddff9513923ca25bbb89971cfc8612e,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2024-08-29 close,DeepFinEval audit
B-EARN-CN_A-20240828-002594,比亚迪（002594）发布财报，EPS 实际 1.13，一致预期 0.8，surprise 42.03%。,2024-08-29T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-08-29/1221030552.PDF,769e9fc195141e7f525d65f0daa308d441c7e39408f0dd584a3722cfc8a306ba,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2024-08-29 close,DeepFinEval audit
B-EARN-CN_A-20240829-600036,招商银行（600036）发布财报，EPS 实际 1.37，一致预期 1.37，surprise 0.36%。,2024-08-30T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-08-30/1221051750.PDF,e8a2461f607a3929266d8ea08617155b15e3045769e254cc3d99ae3b647ca773,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2024-08-30 close,DeepFinEval audit
B-EARN-CN_A-20240830-601398,工商银行（601398）发布财报，EPS 实际 0.22，一致预期 0.23，surprise -4.35%。,2024-08-31T07:00:00Z,https://static.cninfo.com.cn/finalpage/2024-08-31/1221087759.PDF,5a2bb734631510b479cd6dcd7d9d9ff578614ccdd252cd84d091009eae5da02d,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2024-09-02 close,DeepFinEval audit
B-EARN-CN_A-20250414-300750,宁德时代（300750）发布财报，EPS 实际 2.69，一致预期 2.55，surprise 5.65%。,2025-04-15T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-15/1223094849.PDF,55e17a28dc23b45def5d8383aa9c084b90110ef51ab5afa209856545ee2e62a0,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2025-04-15 close,DeepFinEval audit
B-EARN-CN_A-20250424-600276,恒瑞医药（600276）发布财报，EPS 实际 0.3，一致预期 0.21，surprise 42.86%。,2025-04-25T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-25/1223274888.PDF,84e0d61c0226b0759a49af21408217463861c8f76478e04d4c3d805eb388e721,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2025-04-25 close,DeepFinEval audit
B-EARN-CN_A-20250425-000858,五粮液（000858）发布财报，EPS 实际 3.83，一致预期 3.86，surprise -0.74%。,2025-04-26T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-26/1223311527.PDF,b737191a758994a35e9442d46847de771fe48b758feb9a7f35601def922435e7,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2025-04-28 close,DeepFinEval audit
B-EARN-CN_A-20250425-002594,比亚迪（002594）发布财报，EPS 实际 0.93，一致预期 0.5，surprise 86.90%。,2025-04-26T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-26/1223309368.PDF,6ae70e06d80b96f3ae790583c5eb861d01e08cb738eee1152ef1269ad2609db6,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2025-04-28 close,DeepFinEval audit
B-EARN-CN_A-20250429-000333,美的集团（000333）发布财报，EPS 实际 1.67，一致预期 1.35，surprise 23.93%。,2025-04-30T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-30/1223412432.PDF,d99c61dec30e4fe226734c95ec5aa5508b1e994ed9e234a26846c7abcb147c21,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2025-04-30 close,DeepFinEval audit
B-EARN-CN_A-20250429-600036,招商银行（600036）发布财报，EPS 实际 1.48，一致预期 1.52，surprise -2.63%。,2025-04-30T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-30/1223412232.PDF,6df8ad7c68e7dfba52aa6404ac6bce5576633d22f242a19a625a28b335e53baf,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2025-04-30 close,DeepFinEval audit
B-EARN-CN_A-20250429-600519,贵州茅台（600519）发布财报，EPS 实际 21.37，一致预期 20.63，surprise 3.61%。,2025-04-30T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-30/1223413786.PDF,f3197b2a4ef7b617bec762b99613eecaf8ea27d1950d4bed5e9ce5f1943d1128,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2025-04-30 close,DeepFinEval audit
B-EARN-CN_A-20250429-601398,工商银行（601398）发布财报，EPS 实际 0.23，一致预期 0.24，surprise -4.17%。,2025-04-30T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-30/1223415487.PDF,4443b73a09dded5034ec9531e667c94f056b9e032f8b286b78f90da79e9fad5a,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2025-04-30 close,DeepFinEval audit
B-EARN-CN_A-20260123-600036,招商银行（600036）发布财报，EPS 实际 1.27，一致预期 1.47，surprise -13.61%。,2026-01-24T07:00:00Z,https://static.cninfo.com.cn/finalpage/2026-01-24/1224947770.PDF,fa01d2f63047bad9e77fd40cd934b97e84799514923f7396d47c981e3fabcd06,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2026-01-26 close,DeepFinEval audit
B-EARN-CN_A-20260309-300750,宁德时代（300750）发布财报，EPS 实际 4.62，一致预期 4.01，surprise 15.03%。,2026-03-10T07:00:00Z,https://static.cninfo.com.cn/finalpage/2026-03-10/1225002214.PDF,c15272977147dee7e6935a38ea0e4fd6855370aabb106f54cfe20f7cf6048ec9,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2026-03-10 close,DeepFinEval audit
B-EARN-CN_A-20260325-600276,恒瑞医药（600276）发布财报，EPS 实际 0.29，一致预期 0.35，surprise -16.06%。,2026-03-26T07:00:00Z,https://static.cninfo.com.cn/finalpage/2026-03-26/1225032585.PDF,fae80e2d132f5b6f2bfbb8bcdfd40e1267edb91d689389d63c8e291b0856ace6,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2026-03-26 close,DeepFinEval audit
B-EARN-CN_A-20260327-002594,比亚迪（002594）发布财报，EPS 实际 0.98，一致预期 1.42，surprise -30.99%。,2026-03-28T07:00:00Z,https://static.cninfo.com.cn/finalpage/2026-03-28/1225045351.PDF,710d8b2e08e37ba521f1c4071d2c3e2369d3cadabc21a45073215d9f72138b0b,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2026-03-30 close,DeepFinEval audit
B-EARN-CN_A-20260327-601398,工商银行（601398）发布财报，EPS 实际 0.24，一致预期 0.28，surprise -14.29%。,2026-03-28T07:00:00Z,https://static.cninfo.com.cn/finalpage/2026-03-28/1225047240.PDF,e2edab73032f143aad881f612382bc613c8b96b424bb197b125d64a0ef23c78b,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2026-03-30 close,DeepFinEval audit
B-EARN-CN_A-20260330-000333,美的集团（000333）发布财报，EPS 实际 0.6，一致预期 0.76，surprise -21.05%。,2026-03-31T07:00:00Z,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,16f95f70527db59dcf2736f276a9479cf7ee917e5f71e4f6cbbe83acbad9f4b6,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2026-03-31 close,DeepFinEval audit
B-EARN-CN_A-20260416-600519,贵州茅台（600519）发布财报，EPS 实际 14.13，一致预期 18.61，surprise -24.06%。,2026-04-17T07:00:00Z,https://static.cninfo.com.cn/finalpage/2026-04-17/1225114741.PDF,474905deeaf0f875fc0a1b097a626c0c7852c427faadc5d7fc7816cbf45ea288,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2026-04-17 close,DeepFinEval audit
B-EARN-CN_A-20260430-000858,五粮液（000858）发布财报，EPS 实际 -3.27，一致预期 0.93，surprise -451.61%。,2026-04-30T07:00:00Z,https://static.cninfo.com.cn/finalpage/2026-04-30/1225273091.PDF,09133e1f44b3bb4b2cebe211529ad68f5b04b6be10b43870f2a78c947d5910a4,Missing official event evidence.,是,observed down excess return available from 2026-05-06 close,DeepFinEval audit
B-EARN-HK-20220518-0700,腾讯控股（0700）发布财报，EPS 实际 2.62，一致预期 2.81，surprise -6.70%。,2022-05-18T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0518/2022051800271.pdf,faaeecacf0aeb9db8af18b6c7a169fb8cdfbff71bb2ec63fc8307af5403c4020,Official event disclosure matched to the earnings announcement date.,是,observed down excess return available from 2022-05-19 close,DeepFinEval audit
B-EARN-HK-20220526-9988,阿里巴巴（9988）发布财报，EPS 实际 0.99，一致预期 0.92，surprise 7.61%。,2022-05-26T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0526/2022052601314.pdf,10e7717703d1f0f202c53ef1de8033a625638877a2c2bf49c96b756350aafd3d,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2022-05-27 close,DeepFinEval audit
B-EARN-HK-20220801-0005,汇丰控股（0005）发布财报，EPS 实际 0.33，一致预期 0.17，surprise 98.07%。,2022-08-01T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0801/2022080100633.pdf,ae8745529505bbf2449d1284c6713ae2d5b857a192795af41113715fa416636b,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2022-08-02 close,DeepFinEval audit
B-EARN-HK-20221116-0700,腾讯控股（0700）发布财报，EPS 实际 3.31，一致预期 2.99，surprise 10.56%。,2022-11-16T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1116/2022111600375.pdf,714a71e721b44e2103e0f9bae410f7f8a25340e717ec904f5716800776db2c19,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2022-11-17 close,DeepFinEval audit
B-EARN-HK-20221117-9988,阿里巴巴（9988）发布财报，EPS 实际 1.61，一致预期 1.34，surprise 20.11%。,2022-11-17T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1117/2022111700899.pdf,8e7a7d4aea06bfdd17f4b6af437c6fd53411c07e5fbcc063f5bb2b50bcaf2450,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2022-11-18 close,DeepFinEval audit
B-EARN-HK-20230220-0005,汇丰控股（0005）发布财报，EPS 实际 0.29，一致预期 0.2，surprise 49.97%。,2023-02-21T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0221/2023022100131.pdf,d4f2be163359b236b22f542a882bb4477b583365fa6cf2029446ebfe9ccb34a8,Official event disclosure matched to the earnings announcement date.,是,observed down excess return available from 2023-02-21 close,DeepFinEval audit
B-EARN-HK-20230223-9988,阿里巴巴（9988）发布财报，EPS 实际 2.41，一致预期 6.06，surprise -60.26%。,2023-02-23T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0223/2023022300853.pdf,b6d07031b147041dff86eec4aeabfda4c99dee08591499db99473f9e04418781,Official event disclosure matched to the earnings announcement date.,是,observed down excess return available from 2023-02-24 close,DeepFinEval audit
B-EARN-HK-20230322-0700,腾讯控股（0700）发布财报，EPS 实际 3.04，一致预期 3.03，surprise 0.50%。,2023-03-22T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0322/2023032200281.pdf,63a8000fc7006dc1e99332c523eb005d29eab53bf4b12ced7d65b4e91674d16f,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2023-03-23 close,DeepFinEval audit
B-EARN-HK-20230502-0005,汇丰控股（0005）发布财报，EPS 实际 0.37，一致预期 0.25，surprise 47.94%。,2023-05-02T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0502/2023050200617.pdf,f558b31f6a454b4a4e43a96d7807d71bd74f6193c969ae0b3d362f3c991c60a2,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2023-05-03 close,DeepFinEval audit
B-EARN-HK-20230517-0700,腾讯控股（0700）发布财报，EPS 实际 3.35，一致预期 3.25，surprise 3.05%。,2023-05-17T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0517/2023051700239.pdf,58dc377a97eaafdf77b96768d7a8a6c002e0a611500aa4d78075e28e30437b94,Official event disclosure matched to the earnings announcement date.,是,observed down excess return available from 2023-05-18 close,DeepFinEval audit
B-EARN-HK-20230801-0005,汇丰控股（0005）发布财报，EPS 实际 0.25，一致预期 0.31，surprise -18.49%。,2023-08-01T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0801/2023080100647.pdf,1c7b0677d719f3567e446b6ac035271a04b75381d14eafa4fbb34d54b1e23dda,Official event disclosure matched to the earnings announcement date.,是,observed down excess return available from 2023-08-02 close,DeepFinEval audit
B-EARN-HK-20230810-9988,阿里巴巴（9988）发布财报，EPS 实际 2.17，一致预期 1.97，surprise 10.15%。,2023-08-10T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0810/2023081000990.pdf,b0e65f35a680b5c72c67393547ea2364991bb0d82a36489cab2b8634a3948222,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2023-08-11 close,DeepFinEval audit
B-EARN-HK-20230816-0700,腾讯控股（0700）发布财报，EPS 实际 3.88，一致预期 3.75，surprise 3.46%。,2023-08-16T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0816/2023081600440.pdf,9c05b0819d43797dd35ce187fffc815740e50a9f9f9bedbcc708384f3f5b17ed,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2023-08-17 close,DeepFinEval audit
B-EARN-HK-20231030-0005,汇丰控股（0005）发布财报，EPS 实际 0.27，一致预期 0.3，surprise -10.89%。,2023-10-30T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1030/2023103000243.pdf,dd7f47a57b4f85e9f9c99adc6ca84f1004dca22d1a40c617a28b04bb3ac110ea,Official event disclosure matched to the earnings announcement date.,是,observed down excess return available from 2023-10-31 close,DeepFinEval audit
B-EARN-HK-20231115-0700,腾讯控股（0700）发布财报，EPS 实际 4.66，一致预期 4.2，surprise 10.76%。,2023-11-15T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1115/2023111500283.pdf,3a36bd73aebbd04742362b4a272f3cb650e3b8b9800e78848c26fc5a1eb471cf,Missing official event evidence.,是,observed up excess return available from 2023-11-16 close,DeepFinEval audit
B-EARN-HK-20231116-9988,阿里巴巴（9988）发布财报，EPS 实际 1.95，一致预期 1.86，surprise 4.62%。,2023-11-16T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1116/2023111600954.pdf,2271b32c4efe1d0be320a84cd387869676f853382d04e2c75094f337c0aa974c,Official event disclosure matched to the earnings announcement date.,是,observed down excess return available from 2023-11-17 close,DeepFinEval audit
B-EARN-HK-20240207-9988,阿里巴巴（9988）发布财报，EPS 实际 2.37，一致预期 2.41，surprise -1.70%。,2024-02-07T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0207/2024020700912.pdf,745fe99f0fccfbfdfd2e29cb9add73abc9c17e674a0c1ea9260dfcf44889a3f9,Missing official event evidence.,是,observed down excess return available from 2024-02-08 close,DeepFinEval audit
B-EARN-HK-20240221-0005,汇丰控股（0005）发布财报，EPS 实际 0.08，一致预期 0.24，surprise -68.85%。,2024-02-21T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0221/2024022100137.pdf,280d196e830ff9bf88c653bf8dcda06ef492abe57844408a597748e9e6922059,Missing official event evidence.,是,observed down excess return available from 2024-02-22 close,DeepFinEval audit
B-EARN-HK-20240320-0700,腾讯控股（0700）发布财报，EPS 实际 4.44，一致预期 4.42，surprise 0.58%。,2024-03-20T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0320/2024032000508.pdf,34aeefcbb09a5f939e604ce876bd42ffa0895d32f359a85ff4808da55e99e637,Missing official event evidence.,是,observed up excess return available from 2024-03-21 close,DeepFinEval audit
B-EARN-HK-20240430-0005,汇丰控股（0005）发布财报，EPS 实际 0.36，一致预期 0.33，surprise 7.37%。,2024-04-30T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0430/2024043000593.pdf,f509bbbc931385b37e85657b1f17ae389d33a477688f3e7e612bf437fe9cd7a1,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2024-05-02 close,DeepFinEval audit
B-EARN-HK-20240514-0700,腾讯控股（0700）发布财报，EPS 实际 5.26，一致预期 4.45，surprise 18.33%。,2024-05-14T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0514/2024051400293.pdf,2f9a5cb0389704914aaea4439e4cbf26ba2203cebe60a2255dc7520b88fe1431,Official event disclosure matched to the earnings announcement date.,是,observed up excess return available from 2024-05-16 close,DeepFinEval audit
B-EARN-HK-20240514-9988,阿里巴巴（9988）发布财报，EPS 实际 1.27，一致预期 1.34，surprise -5.28%。,2024-05-14T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0514/2024051400813.pdf,56ab5586e9554935eaa046a8b79f94dd55aaab8212273c0b466e8b093110d1a5,Official event disclosure matched to the earnings announcement date.,是,observed down excess return available from 2024-05-16 close,DeepFinEval audit
B-EARN-HK-20240731-0005,汇丰控股（0005）发布财报，EPS 实际 0.36，一致预期 0.32，surprise 11.91%。,2024-07-31T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073100181.pdf,13afd153236a34b667307e2be6fcc5466b53b641809d28a6935b06d9345e1c0a,Missing official event evidence.,是,observed up excess return available from 2024-08-01 close,DeepFinEval audit
B-EARN-HK-20240814-0700,腾讯控股（0700）发布财报，EPS 实际 6.01，一致预期 5.13，surprise 17.15%。,2024-08-14T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0814/2024081400282.pdf,eae4d435efcb2d04ef4a34201577840ca1dc9f40e5b51a08d4e197fcf09e7449,Missing official event evidence.,是,observed down excess return available from 2024-08-15 close,DeepFinEval audit
B-EARN-HK-20240815-9988,阿里巴巴（9988）发布财报，EPS 实际 2.05，一致预期 4.37，surprise -53.11%。,2024-08-15T08:00:00Z,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0815/2024081501079.pdf,5b43e1f462110d0147270a2e0c0c6b5728bda4aeabec7c181e66dac4b94f3e30,Missing official event evidence.,是,observed up excess return available from 2024-08-16 close,DeepFinEval audit
